"","sim","sample","type","control_mean","control_sd","beta","se","t_stat","pval"
"316",316,10500,"Logged",4.53849722737652,1.33606302117172,0.0145539598368898,0.0262141220616762,0.555195394400296,0.578772848300804
"317",317,11000,"Logged",4.56200053122635,1.33416398811969,-0.0263476063685058,0.025593021924401,-1.02948399162607,0.303274938047969
"318",318,11500,"Logged",4.55037469367551,1.34933554291943,0.00376995783649851,0.0250190316996601,0.150683602857009,0.880227951812489
"319",319,12000,"Logged",4.56197282276805,1.32660855517369,-0.0130379415005366,0.0244649165412468,-0.532924012986318,0.594096052145045
"320",320,12500,"Logged",4.55981063682562,1.34718645444589,-0.0092858333233304,0.0239757797228316,-0.387300577110646,0.698540293250002
"321",321,13000,"Logged",4.56028554412373,1.34267374447598,-0.00388801306220474,0.0234950094603111,-0.16548250677543,0.868566791159796
"322",322,13500,"Logged",4.56447226520472,1.34323571265942,-0.0125981078713985,0.0230790819069427,-0.545866942289793,0.58516642442429
"323",323,14000,"Logged",4.54592743019744,1.33280673709475,0.0269876128505899,0.0226682254057325,1.19054810720936,0.233851222773378
"324",324,1000,"Logged",4.43334009822038,1.44579400210138,0.150676138480162,0.0878423780016574,1.71530122371368,0.0866004150800054
"325",325,1500,"Logged",4.55098992631994,1.31678928270833,-0.019825055748254,0.0705582574263035,-0.280974282407142,0.77876892715072
"326",326,2000,"Logged",4.58409309437304,1.35275159615473,-0.0730746452607952,0.0608880734294121,-1.20014710837437,0.230224492921391
"327",327,2500,"Logged",4.49135319386831,1.3762002500142,0.0916162586237123,0.0545604431066454,1.67916998849581,0.0932439796515679
"328",328,3000,"Logged",4.52701114104043,1.36630168869795,0.0199100764257018,0.0494340831172894,0.402760103357481,0.687153430675115
"329",329,3500,"Logged",4.54617598678116,1.34279050295095,-0.0136254833862842,0.0461944138979145,-0.294959546762415,0.768042286841413
"330",330,4000,"Logged",4.56496112187978,1.3388902244022,-0.0433864040859001,0.0431425925879317,-1.00565129454081,0.31464420018485
"331",331,4500,"Logged",4.52608913283517,1.36034637459162,0.0273814386607962,0.0405553226343014,0.67516263913623,0.499607144485146
"332",332,5000,"Logged",4.54710352998758,1.34684885349501,-0.0184090439628203,0.038258903869761,-0.4811701878728,0.630416610994973
"333",333,5500,"Logged",4.53081423668329,1.38551114717304,0.0308540075945307,0.0364516141416751,0.846437347729282,0.397345650218063
"334",334,6000,"Logged",4.55691275171689,1.36132046864214,-0.00230281932450355,0.034969156776489,-0.0658528696937817,0.947497158329001
"335",335,6500,"Logged",4.58964386242237,1.32459954895211,-0.0639407076543336,0.0335889305809737,-1.90362439495328,0.0570032562851491
"336",336,7000,"Logged",4.54938969123456,1.39443036185614,0.0145677822320605,0.0323604448755676,0.450172495714337,0.652600011451078
"337",337,7500,"Logged",4.57557702488968,1.339364901875,-0.040671396350699,0.0311597797764919,-1.30525301020847,0.191846760494161
"338",338,8000,"Logged",4.56518859247724,1.3505961069119,-0.0183329384714726,0.0301345223493143,-0.608369970459803,0.542959399567864
